filename,genre,mood,energy,valence,arousal,color_temperature,complexity,motion_speed,style,brightness,label_source
02 - Strange Signals.mp3,unknown,neutral,1.0,,,0.548,1.0,0.817,thomas,0.59,bootstrap
02 Don't Laugh (Live Raw Mix).mp3,unknown,neutral,0.884,,,0.236,0.519,0.73,chladni,0.121,bootstrap
02 Doschitai.mp3,unknown,neutral,1.0,,,0.565,1.0,0.788,thomas,0.628,bootstrap
02 Drugs Work.mp3,unknown,neutral,0.459,,,0.357,0.66,0.652,chladni,0.329,bootstrap
02 Jeru.flac,unknown,neutral,0.746,,,0.46,0.65,0.494,chladni,0.328,bootstrap
02 Pulse Versus 3 Phase - Das Rennen.mp3,unknown,energetic,0.467,,,0.594,0.669,0.734,thomas,0.435,bootstrap
02 Pyramid.mp3,unknown,neutral,0.912,,,0.199,0.637,0.489,chladni,0.159,bootstrap
02-Questioning Reality.mp3,unknown,aggressive,1.0,,,0.209,0.53,0.817,lorenz,0.048,bootstrap
02-arkan--kyrylivska_41-15faa466.mp3,unknown,energetic,1.0,,,0.498,0.609,0.817,lorenz,0.271,bootstrap
02-augusto_taito-moments_of_truth.mp3,unknown,aggressive,1.0,,,0.277,0.584,0.718,lorenz,0.196,bootstrap
02-bipolar_state_and_pacific_state-lunar__kaiser_remix.mp3,unknown,neutral,1.0,,,0.35,0.62,0.817,lorenz,0.273,bootstrap
02-blawan-lox.mp3,unknown,neutral,1.0,,,0.23,0.594,0.635,chladni,0.154,bootstrap
02-december-no_photographs_and_only_memories_(original_mix).mp3,unknown,neutral,0.667,,,0.525,1.0,0.682,thomas,0.594,bootstrap
02-endlec-clockmaker.mp3,unknown,energetic,1.0,,,0.545,0.692,0.848,lorenz,0.332,bootstrap
02-falling_apart--third_fragment-dh.mp3,unknown,neutral,1.0,,,0.351,0.594,0.788,lorenz,0.286,bootstrap
02-joshua_calleja--blonde_dimension_(jason_patrick_x_mike_derer_remix)-78fc240c.mp3,unknown,aggressive,1.0,,,0.235,0.553,0.817,lorenz,0.089,bootstrap
02-kriz-power_of_the_prophet.mp3,unknown,energetic,1.0,,,0.471,0.612,0.817,lorenz,0.227,bootstrap
02-len_faki-temple.mp3,unknown,aggressive,1.0,,,0.238,0.554,0.788,lorenz,0.105,bootstrap
02-radiation_30376_-_nietoperz-tr.mp3,unknown,calm,0.667,,,0.407,0.46,0.622,chladni,0.188,bootstrap
02-swooh--freaky_fight-aaf2fdf0.mp3,unknown,neutral,0.878,,,0.622,1.0,0.525,aizawa,0.82,bootstrap
02-unklevon-san_telmo_(dubmix).mp3,unknown,neutral,1.0,,,0.449,0.87,0.541,dejong,0.543,bootstrap
02. Marcelus - Y02.mp3,unknown,neutral,1.0,,,0.353,0.651,0.788,lorenz,0.29,bootstrap
02. Mononom - Shrinking.mp3,unknown,neutral,1.0,,,0.364,0.615,0.576,chladni,0.393,bootstrap
02_Overwatch.mp3,unknown,neutral,1.0,,,0.624,1.0,0.699,aizawa,0.758,bootstrap
02_system_01_-_drugs_work-drum.mp3,unknown,neutral,0.246,,,0.288,0.543,0.623,chladni,0.222,bootstrap
03 - Bass Freak.mp3,unknown,neutral,1.0,,,0.626,1.0,0.541,aizawa,0.825,bootstrap
03 - Black Sabbath.mp3,unknown,calm,0.568,,,0.702,1.0,0.502,dejong,0.706,bootstrap
03 - Moonage Daydream.mp3,unknown,energetic,0.565,,,0.689,1.0,0.631,thomas,0.633,bootstrap
03 Moon Dreams.flac,unknown,neutral,0.715,,,0.375,0.591,0.434,chladni,0.214,bootstrap
03 Panagoi.mp3,unknown,energetic,0.852,,,0.605,1.0,0.894,thomas,0.405,bootstrap
03 Push Pull Revolving Doors.mp3,unknown,neutral,1.0,,,0.384,0.801,0.788,lorenz,0.339,bootstrap
03 Return and Revenge of Gatorade (Tanith Mix).mp3,unknown,energetic,1.0,,,0.533,0.564,0.788,lorenz,0.338,bootstrap
03-Geotropism.mp3,unknown,aggressive,1.0,,,0.234,0.556,0.817,lorenz,0.087,bootstrap
03-altinbas-tenacity.mp3,unknown,neutral,1.0,,,0.156,0.542,0.541,chladni,0.073,bootstrap
03-cirkle-machina.mp3,unknown,neutral,1.0,,,0.338,0.618,0.848,lorenz,0.241,bootstrap
03-dj_hell_-_red_bull.mp3,unknown,neutral,0.531,,,0.378,0.648,0.582,chladni,0.393,bootstrap
03-endlec-station_zero.mp3,unknown,neutral,1.0,,,0.41,0.62,0.817,lorenz,0.369,bootstrap
03-samuli_kemppi--anticipation-b2e5ae78.mp3,unknown,energetic,1.0,,,0.395,0.571,0.788,lorenz,0.117,bootstrap
03-slone--slone_(ghost)-999a68ce.mp3,unknown,aggressive,1.0,,,0.28,0.568,0.718,lorenz,0.201,bootstrap
03-zisko-be_free_this_time.mp3,unknown,neutral,1.0,,,0.351,0.605,0.848,lorenz,0.263,bootstrap
03. Jaquarius - Metamine.mp3,unknown,calm,1.0,,,0.465,0.815,0.586,chladni,0.309,bootstrap
03. Phara - Evoke (Original Mix).mp3,unknown,neutral,1.0,,,0.344,0.597,0.817,lorenz,0.264,bootstrap
03_Chase Across The Bridge.mp3,unknown,neutral,1.0,,,0.427,0.992,0.817,lorenz,0.396,bootstrap
04 - Changa.mp3,unknown,aggressive,1.0,,,0.269,0.573,0.817,lorenz,0.144,bootstrap
04 - Methademic.mp3,unknown,neutral,1.0,,,0.47,1.0,0.567,dejong,0.565,bootstrap
04 - N.I.T.N.T.mp3,unknown,neutral,1.0,,,0.464,1.0,0.541,dejong,0.566,bootstrap
04 - Starman.mp3,unknown,neutral,0.434,,,0.573,0.661,0.366,dejong,0.549,bootstrap
04 -rowla.mp3,unknown,neutral,0.21,,,0.445,0.337,0.304,waveform,0.359,bootstrap
04 Electro Raw.mp3,unknown,calm,0.504,,,0.699,1.0,0.54,dejong,0.683,bootstrap
04 San Telmo.mp3,unknown,neutral,1.0,,,0.514,1.0,0.718,thomas,0.575,bootstrap
04 Teka.mp3,unknown,neutral,1.0,,,0.401,0.757,0.848,lorenz,0.342,bootstrap
04 Venus De Milo.flac,unknown,neutral,0.927,,,0.384,0.737,0.886,lorenz,0.296,bootstrap
04 You And Whose Army.mp3,unknown,melancholic,0.805,,,0.182,0.582,0.443,chladni,0.146,bootstrap
04-Nebula.mp3,unknown,aggressive,1.0,,,0.226,0.55,0.848,lorenz,0.062,bootstrap
04-dave_the_drummer_-_hydraulix_13.8_jeff_amadeus_and_dave_the_drummer_remix.mp3,unknown,neutral,1.0,,,0.351,0.637,0.848,lorenz,0.262,bootstrap
04-december-modern_phobias_(original_mix).mp3,unknown,neutral,1.0,,,0.347,0.613,0.848,lorenz,0.257,bootstrap
04-james_shinra-1310clap_(original_mix).mp3,unknown,neutral,0.831,,,0.608,1.0,0.55,aizawa,0.786,bootstrap
04-obscure_shape-broken_circle.mp3,unknown,energetic,1.0,,,0.602,0.699,0.848,thomas,0.424,bootstrap
04-unklevon-type-u.mp3,unknown,energetic,1.0,,,0.599,0.893,0.848,thomas,0.419,bootstrap
04. Slaves Of Sinus - Chaos (And Me).mp3,unknown,neutral,1.0,,,0.538,1.0,0.541,thomas,0.684,bootstrap
04_IMSI Identified.mp3,unknown,neutral,1.0,,,0.439,0.911,0.817,thomas,0.417,bootstrap
05 - It Ain’t Easy.mp3,unknown,calm,0.232,,,0.618,0.766,0.433,dejong,0.584,bootstrap
05 - N.I.B..mp3,unknown,energetic,1.0,,,0.592,0.975,0.968,lorenz,0.36,bootstrap
05 -pearls girl.mp3,unknown,calm,0.259,,,0.339,0.236,0.629,chladni,0.06,bootstrap
05 Budo.flac,unknown,neutral,0.535,,,0.403,0.7,0.507,chladni,0.464,bootstrap
05 I Might Be Wrong.mp3,unknown,neutral,1.0,,,0.257,0.739,0.681,chladni,0.179,bootstrap
05 Phuture 2.mp3,unknown,neutral,1.0,,,0.546,0.937,0.817,thomas,0.587,bootstrap
05 Punk Navsegda.mp3,unknown,neutral,1.0,,,0.42,0.822,0.681,thomas,0.439,bootstrap
05-Magny.mp3,unknown,energetic,1.0,,,0.363,0.539,0.817,lorenz,0.054,bootstrap
05-juri-jah_-_darcknes.mp3,unknown,neutral,1.0,,,0.386,0.717,0.817,lorenz,0.332,bootstrap
05-obscure_shape-instinct.mp3,unknown,neutral,1.0,,,0.289,0.591,0.817,lorenz,0.176,bootstrap
05. Galaxian - Private Tyranny.mp3,unknown,neutral,1.0,,,0.337,0.725,0.664,chladni,0.314,bootstrap
05_City Satellites.mp3,unknown,neutral,0.984,,,0.681,1.0,0.809,aizawa,0.805,bootstrap
05_futurhythm_-_phuture_2-drum.mp3,unknown,neutral,0.917,,,0.517,0.864,0.775,thomas,0.554,bootstrap
06 - Iron Man.mp3,unknown,calm,1.0,,,0.599,1.0,0.519,dejong,0.551,bootstrap
06 - Lady Stardust.mp3,unknown,neutral,0.375,,,0.453,0.546,0.45,chladni,0.32,bootstrap
06 - The Eve (James Ruskin Remix).mp3,unknown,neutral,1.0,,,0.579,0.799,0.848,thomas,0.627,bootstrap
06 Deception.flac,unknown,neutral,0.767,,,0.383,0.741,0.548,chladni,0.424,bootstrap
06 Knives Out.mp3,unknown,neutral,1.0,,,0.378,0.722,0.635,chladni,0.391,bootstrap
06 Lumpy Oatmeal.mp3,unknown,aggressive,1.0,,,0.23,0.555,0.817,lorenz,0.081,bootstrap
06-Planting Seeds (Tears of Life).mp3,unknown,neutral,0.399,,,0.335,0.308,0.418,waveform,0.146,bootstrap
06-k-h1-moroz.mp3,unknown,neutral,1.0,,,0.296,0.597,0.848,lorenz,0.175,bootstrap
06-mac_declos_and_anetha-push_push.mp3,unknown,neutral,1.0,,,0.376,0.855,0.883,lorenz,0.288,bootstrap
06-seigg-secondary_options.mp3,unknown,neutral,1.0,,,0.271,0.572,0.848,lorenz,0.135,bootstrap
06-tronikhouse-uptempo-justify_int.mp3,unknown,neutral,1.0,,,0.55,0.902,0.817,thomas,0.593,bootstrap
06-violet_micro_-_...i_know.mp3,unknown,calm,0.705,,,0.45,0.514,0.701,chladni,0.228,bootstrap
06. Blackmass Plastics - Holy Handgrenade.mp3,unknown,neutral,1.0,,,0.515,1.0,0.681,thomas,0.592,bootstrap
06_My Enemy.mp3,unknown,neutral,1.0,,,0.462,0.811,0.848,thomas,0.44,bootstrap
07 - End of the Beginning.mp3,unknown,aggressive,1.0,,,0.465,1.0,0.635,thomas,0.529,bootstrap
07 - Star.mp3,unknown,energetic,1.0,,,0.611,0.979,0.817,thomas,0.452,bootstrap
07 Godchild.flac,unknown,neutral,0.822,,,0.293,0.671,0.532,chladni,0.289,bootstrap
07 Morning Bell Amnesiac.mp3,unknown,neutral,1.0,,,0.447,0.819,0.506,chladni,0.313,bootstrap
07-Are We There Yet.mp3,unknown,neutral,0.335,,,0.356,0.344,0.385,waveform,0.189,bootstrap
07-cucarafa--reservado-201214a2.mp3,unknown,neutral,1.0,,,0.274,0.579,0.848,lorenz,0.14,bootstrap
07. Volruptus - We Are the Cyborgs.mp3,unknown,aggressive,1.0,,,0.426,0.699,0.621,thomas,0.474,bootstrap
08 - 100M Splutter.mp3,unknown,neutral,1.0,,,0.435,0.873,0.788,thomas,0.421,bootstrap
08 - Fairies Wear Boots.mp3,unknown,neutral,1.0,,,0.499,1.0,0.848,thomas,0.498,bootstrap
08 - Hang On to Yourself.mp3,unknown,energetic,1.0,,,0.746,1.0,0.968,thomas,0.607,bootstrap
08 Boplicity.flac,unknown,neutral,0.637,,,0.459,0.667,0.345,chladni,0.382,bootstrap
08 Dollars And Cents.mp3,unknown,neutral,1.0,,,0.4,0.71,0.848,lorenz,0.341,bootstrap
08 X-102 - Mimas.mp3,unknown,neutral,0.527,,,0.431,0.577,0.33,harmonograph,0.338,bootstrap
08-endlec-no_return.mp3,unknown,energetic,1.0,,,0.472,0.61,0.848,lorenz,0.217,bootstrap
08-pfirter-war_and_greed.mp3,unknown,neutral,1.0,,,0.457,0.674,0.817,thomas,0.445,bootstrap
09 - God Is Dead.mp3,unknown,neutral,1.0,,,0.386,0.934,0.74,lorenz,0.362,bootstrap
09 - Ziggy Stardust.mp3,unknown,energetic,0.621,,,0.674,1.0,0.733,thomas,0.57,bootstrap
09 Hunting Bears.mp3,unknown,neutral,0.571,,,0.374,0.641,0.352,harmonograph,0.241,bootstrap
09 Rocker.flac,unknown,neutral,0.687,,,0.342,0.657,0.525,chladni,0.366,bootstrap
09-jeff_mills_-_changes_of_life.mp3,unknown,energetic,0.481,,,0.681,1.0,0.741,thomas,0.572,bootstrap
09_vein_melter_-_hypnotyzed-drum.mp3,unknown,energetic,0.849,,,0.441,0.534,0.741,lorenz,0.203,bootstrap
1 KUSS - There's Touch.mp3,unknown,neutral,0.52,,,0.446,0.827,0.608,chladni,0.49,bootstrap
1-02 - Club classics.mp3,unknown,neutral,1.0,,,0.511,1.0,0.848,thomas,0.518,bootstrap
1-03 - Sympathy is a knife.mp3,unknown,calm,0.868,,,0.641,1.0,0.555,dejong,0.597,bootstrap
1-03 Land of Mu.mp3,unknown,neutral,1.0,,,0.234,0.541,0.718,chladni,0.127,bootstrap
1-03 MC Loops.mp3,unknown,energetic,1.0,,,0.67,0.909,0.718,thomas,0.584,bootstrap
1-04 - I might say something stupid.mp3,unknown,calm,1.0,,,0.484,0.941,0.586,chladni,0.341,bootstrap
1-05 - Talk talk.mp3,unknown,neutral,1.0,,,0.499,1.0,0.519,dejong,0.631,bootstrap
1-06 - Von dutch.mp3,unknown,neutral,0.698,,,0.572,1.0,0.637,thomas,0.688,bootstrap
1-07 - Everything is romantic.mp3,unknown,neutral,0.798,,,0.311,0.733,0.639,chladni,0.274,bootstrap
1-08 - Rewind.mp3,unknown,energetic,1.0,,,0.641,1.0,0.621,thomas,0.576,bootstrap
1-09 - So I.mp3,unknown,energetic,1.0,,,0.501,0.795,0.74,lorenz,0.305,bootstrap
"1-10 - Girl, so confusing.mp3",unknown,calm,1.0,,,0.531,0.926,0.586,chladni,0.415,bootstrap
1-11 - Apple.mp3,unknown,energetic,1.0,,,0.582,0.824,0.762,thomas,0.427,bootstrap
1-12 - B2b.mp3,unknown,neutral,1.0,,,0.397,0.728,0.74,lorenz,0.38,bootstrap
1-13 - Mean girls.mp3,unknown,neutral,1.0,,,0.386,0.985,0.541,chladni,0.441,bootstrap
1-14 - I think about it all the time.mp3,unknown,energetic,1.0,,,0.613,0.959,0.762,thomas,0.475,bootstrap
1-15 - 365.mp3,unknown,energetic,1.0,,,0.497,0.743,0.788,lorenz,0.279,bootstrap
10 - Sabbath Bloody Sabbath (Intro) - Paranoid.mp3,unknown,neutral,1.0,,,0.443,1.0,0.598,dejong,0.511,bootstrap
10 - Suffragette City.mp3,unknown,neutral,0.517,,,0.458,0.866,0.575,dejong,0.523,bootstrap
10 Israel.flac,unknown,neutral,0.838,,,0.367,0.841,0.528,chladni,0.41,bootstrap
10 Like Spinning Plates.mp3,unknown,neutral,1.0,,,0.396,0.796,0.848,lorenz,0.335,bootstrap
103 Static Drum - External.mp3,unknown,calm,0.42,,,0.682,0.869,0.558,dejong,0.645,bootstrap
10_voov_-_its_anything_you_want_it_to_be_and_its_a_gas_(smoke_machine_v2)-drum.mp3,unknown,energetic,0.666,,,0.746,1.0,0.833,thomas,0.648,bootstrap
11 - Rock ’n’ Roll Suicide.mp3,unknown,neutral,0.292,,,0.506,0.678,0.165,harmonograph,0.515,bootstrap
11 Life In A Glass House.mp3,unknown,neutral,0.422,,,0.431,0.86,0.594,chladni,0.469,bootstrap
11 Rouge.flac,unknown,calm,0.992,,,0.523,0.884,0.617,chladni,0.39,bootstrap
11-3phase_-_current_1.mp3,unknown,neutral,0.269,,,0.43,0.854,0.634,chladni,0.444,bootstrap
12 Darn That Dream.flac,unknown,neutral,0.687,,,0.35,0.679,0.692,chladni,0.311,bootstrap
12. Galaxian - Glasgow to Detroit.mp3,unknown,neutral,0.642,,,0.428,0.726,0.704,thomas,0.428,bootstrap
13-ignez-rio_with_you-tr.mp3,unknown,neutral,0.861,,,0.337,0.616,0.779,lorenz,0.261,bootstrap
13. SolarX - Bionic Man.mp3,unknown,neutral,0.338,,,0.39,0.826,0.169,harmonograph,0.329,bootstrap
15 Privacy - Broke.mp3,unknown,neutral,0.942,,,0.634,1.0,0.788,aizawa,0.737,bootstrap
15. O-Wells - Park Jit.mp3,unknown,melancholic,0.514,,,0.325,0.775,0.324,chladni,0.412,bootstrap
16. Privacy - Go.mp3,unknown,neutral,1.0,,,0.336,0.758,0.567,chladni,0.352,bootstrap
17. Morah & Hauff - Segment 3.mp3,unknown,neutral,1.0,,,0.341,0.74,0.664,chladni,0.319,bootstrap
190829_Dark_Forces_Original_Mix.mp3,unknown,aggressive,0.932,,,0.247,0.6,0.783,lorenz,0.119,bootstrap
2 LYRIC - LUNA.mp3,unknown,neutral,1.0,,,0.291,0.563,0.817,lorenz,0.179,bootstrap
2-03 Juan Atkins.mp3,unknown,calm,1.0,,,0.585,0.804,0.541,dejong,0.519,bootstrap
20. Subtopia - The Mob Rules (Umwelt Remix).mp3,unknown,neutral,0.785,,,0.472,1.0,0.709,thomas,0.502,bootstrap
21. L.F.T. - Data Move.mp3,unknown,calm,1.0,,,0.512,0.956,0.533,chladni,0.407,bootstrap
22. QDT - Untitled.mp3,unknown,neutral,1.0,,,0.561,1.0,0.883,thomas,0.585,bootstrap
23-rustal_and_offtrack-is_it_morning_yet_(late_nite_mix).mp3,unknown,energetic,1.0,,,0.532,0.669,0.848,lorenz,0.311,bootstrap
25. Shedbug - Sibelle.mp3,unknown,neutral,1.0,,,0.29,0.655,0.817,lorenz,0.177,bootstrap
25_juicy_romance_-_hummer.mp3,unknown,calm,1.0,,,0.447,0.602,0.649,chladni,0.255,bootstrap
45. Nene H - Hush Now (VTSS Remix).mp3,unknown,energetic,1.0,,,0.432,0.575,0.848,lorenz,0.152,bootstrap
4A - Zeta Reticula-Reticulum.mp3,unknown,calm,1.0,,,0.474,0.724,0.609,chladni,0.314,bootstrap
AC-DC - High Voltage - 01 - It's a Long Way to the Top (If You Wanna Rock 'n' Roll).ogg,unknown,energetic,0.783,,,0.537,0.904,0.708,lorenz,0.366,bootstrap
AC-DC - High Voltage - 02 - Rock 'n' Roll Singer.ogg,unknown,energetic,0.777,,,0.598,1.0,0.677,thomas,0.477,bootstrap
AC-DC - High Voltage - 03 - The Jack.ogg,unknown,neutral,0.894,,,0.323,0.654,0.687,chladni,0.278,bootstrap
AC-DC - High Voltage - 04 - Live Wire !.ogg,unknown,neutral,0.753,,,0.299,0.46,0.498,chladni,0.069,bootstrap
AC-DC - High Voltage - 05 - TNT !.ogg,unknown,energetic,0.913,,,0.545,1.0,0.719,lorenz,0.381,bootstrap
AC-DC - High Voltage - 06 - Can I Sit Next To You Girl !.ogg,unknown,neutral,0.853,,,0.417,0.935,0.715,thomas,0.415,bootstrap
AC-DC - High Voltage - 07 - Little Lover.ogg,unknown,calm,0.868,,,0.538,0.805,0.615,chladni,0.41,bootstrap
AC-DC - High Voltage - 08 - She's Got Balls.ogg,unknown,neutral,0.605,,,0.35,0.794,0.542,chladni,0.367,bootstrap
AC-DC - High Voltage - 09 - High Voltage.ogg,unknown,energetic,0.69,,,0.578,0.951,0.662,thomas,0.448,bootstrap
ANNA & Miss Kittin - Forever Ravers.mp3,unknown,neutral,1.0,,,0.342,0.581,0.788,lorenz,0.272,bootstrap
ANNA - High Contrast (Original Mix) - 5A - 130.mp3,unknown,melancholic,0.239,,,0.24,0.553,0.3,harmonograph,0.273,bootstrap
ANNA - Phase Two  [Drumcode].mp3,unknown,neutral,1.0,,,0.314,0.568,0.788,lorenz,0.226,bootstrap
Abstract Division - Floating Point (Delta Funktionen Remix).mp3,unknown,energetic,1.0,,,0.41,0.578,0.788,lorenz,0.14,bootstrap
Abstract Division - Floating Point (Original Mix).mp3,unknown,aggressive,1.0,,,0.271,0.559,0.788,lorenz,0.158,bootstrap
Alborythme - Come Back To Me.mp3,unknown,calm,1.0,,,0.352,0.53,0.699,chladni,0.084,bootstrap
Alfredo Mazzilli - Controlling (Original Mix) [Planet Rhythm].mp3,unknown,aggressive,1.0,,,0.259,0.56,0.817,lorenz,0.128,bootstrap
AnD - On The Fucking Edge (Original Mix).mp3,unknown,neutral,0.653,,,0.471,1.0,0.675,thomas,0.511,bootstrap
Ancient Methods - Knights & Bishops.mp3,unknown,neutral,1.0,,,0.334,0.627,0.788,lorenz,0.258,bootstrap
Angelov - Invedi (Original Mix).mp3,unknown,neutral,0.377,,,0.382,0.456,0.451,chladni,0.207,bootstrap
Angelov - Retrida.mp3,unknown,melancholic,0.327,,,0.281,0.574,0.426,chladni,0.293,bootstrap
Animistic Beliefs - An Eye for A.I. (Mixed).mp3,unknown,neutral,1.0,,,0.437,0.877,0.883,lorenz,0.386,bootstrap
Antigone and Rodhad - 1807021.mp3,unknown,neutral,1.0,,,0.329,0.712,0.817,lorenz,0.241,bootstrap
Artbat - Element .mp3,unknown,calm,0.438,,,0.532,0.808,0.642,chladni,0.373,bootstrap
B1 Public Energy - P.A..mp3,unknown,neutral,0.634,,,0.658,1.0,0.785,aizawa,0.764,bootstrap
BIRI - Sun Cure [Non Series].mp3,unknown,energetic,1.0,,,0.406,0.556,0.968,lorenz,0.062,bootstrap
BLANKA (ES) - La Buena Suerte (Original Mix).mp3,unknown,neutral,1.0,,,0.229,0.624,0.541,chladni,0.19,bootstrap
Barker & Baumecker - Cipher ss.mp3,unknown,neutral,0.481,,,0.336,0.398,0.529,chladni,0.105,bootstrap
Bidoben - Sans Soleil (Original Mix).mp3,unknown,neutral,1.0,,,0.28,0.587,0.848,lorenz,0.149,bootstrap
Binaryh - Apus [Hiato Music].mp3,unknown,neutral,1.0,,,0.202,0.58,0.762,chladni,0.059,bootstrap
Blackmass Plastics - Holy Handgrenade (Mixed).mp3,unknown,energetic,1.0,,,0.633,1.0,0.664,thomas,0.547,bootstrap
Boston 168 - Oblivion.mp3,unknown,neutral,0.199,,,0.237,0.392,0.523,chladni,0.178,bootstrap
Cadency - In Your Mind.mp3,unknown,aggressive,1.0,,,0.254,0.595,0.817,lorenz,0.12,bootstrap
"CamelPhat, Yannis, Foals - Hypercolour (Mind Against Remix).mp3",unknown,neutral,1.0,,,0.366,0.587,0.762,lorenz,0.32,bootstrap
Cardao - Mystic Bell (Original Mix).mp3,unknown,aggressive,1.0,,,0.46,0.738,0.635,thomas,0.522,bootstrap
Chlär - Forgot to Dream (Original Mix).mp3,unknown,melancholic,0.587,,,0.237,0.591,0.442,chladni,0.226,bootstrap
Cyan85 - Drama Bass.mp3,unknown,neutral,1.0,,,0.579,1.0,0.635,aizawa,0.713,bootstrap
