filename,mood,energy,valence,arousal,color_temperature,complexity,motion_speed,style,brightness,label_source
01 Vainquer - Lyot (Maurizo Mix).mp3,calm,0.79,,,0.059,0.881,0.161,dejong,0.646,clap
01-04. Pollon - Lost Souls.mp3,neutral,0.928,,,0.019,0.726,0.23,lorenz,0.259,clap
01-Beach of Rain.mp3,energetic,0.899,,,0.405,0.752,0.169,lorenz,0.175,clap
01-Shlomi Aber & Kashpitzky-By Myself_(www.electrobuzz.pro).mp3,energetic,1.0,,,0.112,0.415,0.109,lorenz,0.093,clap
01-blanka-la_buena_suerte.mp3,neutral,1.0,,,0.426,0.728,0.411,chladni,0.19,clap
01-deas-red_source_(original_mix).mp3,neutral,1.0,,,0.117,0.465,0.265,lorenz,0.236,clap
01-december-an_accident_in_favor_of_human_life_(original_mix).mp3,energetic,1.0,,,0.046,0.956,0.134,thomas,0.472,clap
01-dj_europarking_x_dollkraut--boompahpah-4ba1dca5.mp3,neutral,1.0,,,0.14,0.622,0.639,chladni,0.385,clap
01-dj_savage-prosperidad-c58d4eb7.mp3,energetic,1.0,,,0.142,0.692,0.112,thomas,0.511,clap
01-joshua_calleja--blonde_dimension-eb00930f.mp3,energetic,1.0,,,0.189,0.426,0.065,lorenz,0.243,clap
01-keepsakes-dog_anonymous_fluid.mp3,neutral,1.0,,,0.215,0.983,0.58,lorenz,0.261,clap
01-regent-oil_rigger.mp3,neutral,1.0,,,0.094,0.704,0.069,lorenz,0.214,clap
01-taube-higher_purpose.mp3,neutral,1.0,,,0.432,0.948,0.625,lorenz,0.361,clap
01-vainquer_-_lyot_(maurizo_mix).mp3,calm,0.78,,,0.083,0.865,0.092,dejong,0.654,clap
01. Esoterik - Mayhem.mp3,energetic,1.0,,,0.019,0.628,0.156,lorenz,0.193,clap
01. Leinad - From Skimask 2 Facemask (Calling Pablo Remix).flac,energetic,1.0,,,0.026,0.736,0.07,lorenz,0.289,clap
01. Nasty Habits - Shadow Boxing (Om Unit Remix).mp3,calm,0.394,,,0.082,0.988,0.397,dejong,1.0,clap
01_3_phase_feat._dr.motte_-_der_klang_der_familie-drum.mp3,neutral,0.284,,,0.008,0.405,0.389,dejong,0.715,clap
01_Nasty (Feat. DJ Fuckoff).mp3,neutral,1.0,,,0.113,0.653,0.342,dejong,0.533,clap
02 - Loner.mp3,neutral,1.0,,,0.26,0.621,0.248,thomas,0.537,clap
02 - Soul Love.mp3,neutral,0.388,,,0.649,0.209,0.109,dejong,0.627,clap
02 - Strange Signals.mp3,neutral,1.0,,,0.337,0.584,0.343,thomas,0.59,clap
02 Don't Laugh (Live Raw Mix).mp3,neutral,0.884,,,0.179,0.37,0.239,chladni,0.121,clap
02 Doschitai.mp3,neutral,1.0,,,0.161,0.616,0.171,thomas,0.628,clap
02 Drugs Work.mp3,neutral,0.459,,,0.03,0.875,0.689,chladni,0.329,clap
02 Jeru.flac,neutral,0.746,,,0.396,0.571,0.69,chladni,0.328,clap
02 Pulse Versus 3 Phase - Das Rennen.mp3,energetic,0.467,,,0.134,0.902,0.715,thomas,0.435,clap
02 Pyramid.mp3,neutral,0.912,,,0.847,0.319,0.107,chladni,0.159,clap
02-Questioning Reality.mp3,aggressive,1.0,,,0.14,0.595,0.198,lorenz,0.048,clap
02-arkan--kyrylivska_41-15faa466.mp3,energetic,1.0,,,0.123,0.542,0.175,lorenz,0.271,clap
02-augusto_taito-moments_of_truth.mp3,aggressive,1.0,,,0.169,0.566,0.147,lorenz,0.196,clap
02-bipolar_state_and_pacific_state-lunar__kaiser_remix.mp3,neutral,1.0,,,0.152,0.353,0.087,lorenz,0.273,clap
02-blawan-lox.mp3,neutral,1.0,,,0.119,0.85,0.17,chladni,0.154,clap
02-december-no_photographs_and_only_memories_(original_mix).mp3,neutral,0.667,,,0.344,0.87,0.816,thomas,0.594,clap
02-endlec-clockmaker.mp3,energetic,1.0,,,0.257,0.685,0.152,lorenz,0.332,clap
02-falling_apart--third_fragment-dh.mp3,neutral,1.0,,,0.167,0.531,0.043,lorenz,0.286,clap
02-joshua_calleja--blonde_dimension_(jason_patrick_x_mike_derer_remix)-78fc240c.mp3,aggressive,1.0,,,0.027,0.796,0.07,lorenz,0.089,clap
02-kriz-power_of_the_prophet.mp3,energetic,1.0,,,0.216,0.755,0.46,lorenz,0.227,clap
02-len_faki-temple.mp3,aggressive,1.0,,,0.113,0.313,0.273,lorenz,0.105,clap
02-radiation_30376_-_nietoperz-tr.mp3,calm,0.667,,,0.102,0.915,0.798,chladni,0.188,clap
02-swooh--freaky_fight-aaf2fdf0.mp3,neutral,0.878,,,0.137,0.873,0.19,aizawa,0.82,clap
02-unklevon-san_telmo_(dubmix).mp3,neutral,1.0,,,0.354,0.79,0.593,dejong,0.543,clap
02. Marcelus - Y02.mp3,neutral,1.0,,,0.117,0.697,0.099,lorenz,0.29,clap
02. Mononom - Shrinking.mp3,neutral,1.0,,,0.035,0.976,0.657,chladni,0.393,clap
02_Overwatch.mp3,neutral,1.0,,,0.132,0.857,0.736,aizawa,0.758,clap
02_system_01_-_drugs_work-drum.mp3,neutral,0.246,,,0.479,0.868,0.64,chladni,0.222,clap
03 - Bass Freak.mp3,neutral,1.0,,,0.316,0.919,0.812,aizawa,0.825,clap
03 - Black Sabbath.mp3,calm,0.568,,,0.815,0.964,0.294,dejong,0.706,clap
03 - Moonage Daydream.mp3,energetic,0.565,,,0.544,0.412,0.025,thomas,0.633,clap
03 Moon Dreams.flac,neutral,0.715,,,0.43,0.258,0.461,chladni,0.214,clap
03 Panagoi.mp3,energetic,0.852,,,0.039,0.955,0.529,thomas,0.405,clap
03 Push Pull Revolving Doors.mp3,neutral,1.0,,,0.01,0.723,0.04,lorenz,0.339,clap
03 Return and Revenge of Gatorade (Tanith Mix).mp3,energetic,1.0,,,0.009,0.897,0.151,lorenz,0.338,clap
03-Geotropism.mp3,aggressive,1.0,,,0.624,0.332,0.419,lorenz,0.087,clap
03-altinbas-tenacity.mp3,neutral,1.0,,,0.22,0.355,0.077,chladni,0.073,clap
03-cirkle-machina.mp3,neutral,1.0,,,0.117,0.304,0.074,lorenz,0.241,clap
03-dj_hell_-_red_bull.mp3,neutral,0.531,,,0.012,0.76,0.12,chladni,0.393,clap
03-endlec-station_zero.mp3,neutral,1.0,,,0.222,0.832,0.325,lorenz,0.369,clap
03-samuli_kemppi--anticipation-b2e5ae78.mp3,energetic,1.0,,,0.025,0.562,0.076,lorenz,0.117,clap
03-slone--slone_(ghost)-999a68ce.mp3,aggressive,1.0,,,0.26,0.535,0.134,lorenz,0.201,clap
03-zisko-be_free_this_time.mp3,neutral,1.0,,,0.255,0.488,0.39,lorenz,0.263,clap
03. Jaquarius - Metamine.mp3,calm,1.0,,,0.111,0.87,0.358,chladni,0.309,clap
03. Phara - Evoke (Original Mix).mp3,neutral,1.0,,,0.391,0.631,0.399,lorenz,0.264,clap
03_Chase Across The Bridge.mp3,neutral,1.0,,,0.237,0.98,0.847,lorenz,0.396,clap
04 - Changa.mp3,aggressive,1.0,,,0.277,0.789,0.212,lorenz,0.144,clap
04 - Methademic.mp3,neutral,1.0,,,0.073,0.766,0.122,dejong,0.565,clap
04 - N.I.T.N.T.mp3,neutral,1.0,,,0.444,0.496,0.399,dejong,0.566,clap
04 - Starman.mp3,neutral,0.434,,,0.44,0.078,0.059,dejong,0.549,clap
04 -rowla.mp3,neutral,0.21,,,0.638,0.862,0.433,waveform,0.359,clap
04 Electro Raw.mp3,calm,0.504,,,0.534,0.92,0.909,dejong,0.683,clap
04 San Telmo.mp3,neutral,1.0,,,0.348,0.954,0.771,thomas,0.575,clap
04 Teka.mp3,neutral,1.0,,,0.146,0.482,0.109,lorenz,0.342,clap
04 Venus De Milo.flac,neutral,0.927,,,0.492,0.44,0.781,lorenz,0.296,clap
04 You And Whose Army.mp3,melancholic,0.805,,,0.77,0.159,0.064,chladni,0.146,clap
04-Nebula.mp3,aggressive,1.0,,,0.284,0.492,0.391,lorenz,0.062,clap
04-dave_the_drummer_-_hydraulix_13.8_jeff_amadeus_and_dave_the_drummer_remix.mp3,neutral,1.0,,,0.059,0.74,0.041,lorenz,0.262,clap
04-december-modern_phobias_(original_mix).mp3,neutral,1.0,,,0.008,0.728,0.078,lorenz,0.257,clap
04-james_shinra-1310clap_(original_mix).mp3,neutral,0.831,,,0.297,0.484,0.638,aizawa,0.786,clap
04-obscure_shape-broken_circle.mp3,energetic,1.0,,,0.226,0.762,0.169,thomas,0.424,clap
04-unklevon-type-u.mp3,energetic,1.0,,,0.139,0.874,0.138,thomas,0.419,clap
04. Slaves Of Sinus - Chaos (And Me).mp3,neutral,1.0,,,0.272,0.97,0.687,thomas,0.684,clap
04_IMSI Identified.mp3,neutral,1.0,,,0.176,0.787,0.541,thomas,0.417,clap
05 - It Ain’t Easy.mp3,calm,0.232,,,0.423,0.507,0.048,dejong,0.584,clap
05 - N.I.B..mp3,energetic,1.0,,,0.149,0.758,0.271,lorenz,0.36,clap
05 -pearls girl.mp3,calm,0.259,,,0.052,0.112,0.087,chladni,0.06,clap
05 Budo.flac,neutral,0.535,,,0.531,0.718,0.948,chladni,0.464,clap
05 I Might Be Wrong.mp3,neutral,1.0,,,0.352,0.473,0.59,chladni,0.179,clap
05 Phuture 2.mp3,neutral,1.0,,,0.074,0.808,0.178,thomas,0.587,clap
05 Punk Navsegda.mp3,neutral,1.0,,,0.281,0.612,0.336,thomas,0.439,clap
05-Magny.mp3,energetic,1.0,,,0.022,0.21,0.07,lorenz,0.054,clap
05-juri-jah_-_darcknes.mp3,neutral,1.0,,,0.233,0.946,0.874,lorenz,0.332,clap
05-obscure_shape-instinct.mp3,neutral,1.0,,,0.256,0.925,0.251,lorenz,0.176,clap
05. Galaxian - Private Tyranny.mp3,neutral,1.0,,,0.026,0.786,0.214,chladni,0.314,clap
05_City Satellites.mp3,neutral,0.984,,,0.122,0.967,0.849,aizawa,0.805,clap
05_futurhythm_-_phuture_2-drum.mp3,neutral,0.917,,,0.245,0.872,0.232,thomas,0.554,clap
06 - Iron Man.mp3,calm,1.0,,,0.063,0.735,0.054,dejong,0.551,clap
06 - Lady Stardust.mp3,neutral,0.375,,,0.725,0.176,0.061,chladni,0.32,clap
06 - The Eve (James Ruskin Remix).mp3,neutral,1.0,,,0.63,0.854,0.328,thomas,0.627,clap
06 Deception.flac,neutral,0.767,,,0.675,0.446,0.896,chladni,0.424,clap
06 Knives Out.mp3,neutral,1.0,,,0.854,0.468,0.263,chladni,0.391,clap
06 Lumpy Oatmeal.mp3,aggressive,1.0,,,0.082,0.532,0.307,lorenz,0.081,clap
06-Planting Seeds (Tears of Life).mp3,neutral,0.399,,,0.027,0.752,0.024,waveform,0.146,clap
06-k-h1-moroz.mp3,neutral,1.0,,,0.077,0.509,0.044,lorenz,0.175,clap
06-mac_declos_and_anetha-push_push.mp3,neutral,1.0,,,0.163,0.387,0.161,lorenz,0.288,clap
06-seigg-secondary_options.mp3,neutral,1.0,,,0.096,0.909,0.4,lorenz,0.135,clap
06-tronikhouse-uptempo-justify_int.mp3,neutral,1.0,,,0.082,0.708,0.356,thomas,0.593,clap
06-violet_micro_-_...i_know.mp3,calm,0.705,,,0.431,0.725,0.485,chladni,0.228,clap
06. Blackmass Plastics - Holy Handgrenade.mp3,neutral,1.0,,,0.011,0.901,0.12,thomas,0.592,clap
06_My Enemy.mp3,neutral,1.0,,,0.023,0.895,0.414,thomas,0.44,clap
07 - End of the Beginning.mp3,aggressive,1.0,,,0.177,0.6,0.154,thomas,0.529,clap
07 - Star.mp3,energetic,1.0,,,0.19,0.289,0.066,thomas,0.452,clap
07 Godchild.flac,neutral,0.822,,,0.281,0.543,0.543,chladni,0.289,clap
07 Morning Bell Amnesiac.mp3,neutral,1.0,,,0.972,0.414,0.1,chladni,0.313,clap
07-Are We There Yet.mp3,neutral,0.335,,,0.054,0.241,0.009,waveform,0.189,clap
07-cucarafa--reservado-201214a2.mp3,neutral,1.0,,,0.314,0.582,0.32,lorenz,0.14,clap
07. Volruptus - We Are the Cyborgs.mp3,aggressive,1.0,,,0.054,0.809,0.487,thomas,0.474,clap
08 - 100M Splutter.mp3,neutral,1.0,,,0.373,0.988,0.867,thomas,0.421,clap
08 - Fairies Wear Boots.mp3,neutral,1.0,,,0.223,0.664,0.182,thomas,0.498,clap
08 - Hang On to Yourself.mp3,energetic,1.0,,,0.168,0.273,0.12,thomas,0.607,clap
08 Boplicity.flac,neutral,0.637,,,0.507,0.395,0.692,chladni,0.382,clap
08 Dollars And Cents.mp3,neutral,1.0,,,0.075,0.49,0.04,lorenz,0.341,clap
08 X-102 - Mimas.mp3,neutral,0.527,,,0.059,0.523,0.657,harmonograph,0.338,clap
08-endlec-no_return.mp3,energetic,1.0,,,0.399,0.921,0.393,lorenz,0.217,clap
08-pfirter-war_and_greed.mp3,neutral,1.0,,,0.198,0.748,0.212,thomas,0.445,clap
09 - God Is Dead.mp3,neutral,1.0,,,0.236,0.257,0.039,lorenz,0.362,clap
09 - Ziggy Stardust.mp3,energetic,0.621,,,0.138,0.42,0.067,thomas,0.57,clap
09 Hunting Bears.mp3,neutral,0.571,,,0.061,0.683,0.161,harmonograph,0.241,clap
09 Rocker.flac,neutral,0.687,,,0.475,0.351,0.747,chladni,0.366,clap
09-jeff_mills_-_changes_of_life.mp3,energetic,0.481,,,0.566,0.85,0.342,thomas,0.572,clap
09_vein_melter_-_hypnotyzed-drum.mp3,energetic,0.849,,,0.415,0.643,0.401,lorenz,0.203,clap
1 KUSS - There's Touch.mp3,neutral,0.52,,,0.034,0.965,0.021,chladni,0.49,clap
1-02 - Club classics.mp3,neutral,1.0,,,0.77,0.467,0.105,thomas,0.518,clap
1-03 - Sympathy is a knife.mp3,calm,0.868,,,0.268,0.779,0.491,dejong,0.597,clap
1-03 Land of Mu.mp3,neutral,1.0,,,0.401,0.366,0.072,chladni,0.127,clap
1-03 MC Loops.mp3,energetic,1.0,,,0.2,0.899,0.197,thomas,0.584,clap
1-04 - I might say something stupid.mp3,calm,1.0,,,0.898,0.488,0.12,chladni,0.341,clap
1-05 - Talk talk.mp3,neutral,1.0,,,0.792,0.423,0.224,dejong,0.631,clap
1-06 - Von dutch.mp3,neutral,0.698,,,0.428,0.768,0.936,thomas,0.688,clap
1-07 - Everything is romantic.mp3,neutral,0.798,,,0.411,0.281,0.206,chladni,0.274,clap
1-08 - Rewind.mp3,energetic,1.0,,,0.628,0.545,0.358,thomas,0.576,clap
1-09 - So I.mp3,energetic,1.0,,,0.529,0.504,0.25,lorenz,0.305,clap
"1-10 - Girl, so confusing.mp3",calm,1.0,,,0.84,0.408,0.231,chladni,0.415,clap
1-11 - Apple.mp3,energetic,1.0,,,0.753,0.474,0.373,thomas,0.427,clap
1-12 - B2b.mp3,neutral,1.0,,,0.336,0.544,0.635,lorenz,0.38,clap
1-13 - Mean girls.mp3,neutral,1.0,,,0.89,0.862,0.625,chladni,0.441,clap
1-14 - I think about it all the time.mp3,energetic,1.0,,,0.659,0.764,0.68,thomas,0.475,clap
1-15 - 365.mp3,energetic,1.0,,,0.676,0.453,0.333,lorenz,0.279,clap
10 - Sabbath Bloody Sabbath (Intro) - Paranoid.mp3,neutral,1.0,,,0.124,0.737,0.28,dejong,0.511,clap
10 - Suffragette City.mp3,neutral,0.517,,,0.131,0.307,0.08,dejong,0.523,clap
10 Israel.flac,neutral,0.838,,,0.611,0.525,0.863,chladni,0.41,clap
10 Like Spinning Plates.mp3,neutral,1.0,,,0.014,0.616,0.015,lorenz,0.335,clap
103 Static Drum - External.mp3,calm,0.42,,,0.101,0.737,0.211,dejong,0.645,clap
10_voov_-_its_anything_you_want_it_to_be_and_its_a_gas_(smoke_machine_v2)-drum.mp3,energetic,0.666,,,0.331,0.948,0.531,thomas,0.648,clap
11 - Rock ’n’ Roll Suicide.mp3,neutral,0.292,,,0.691,0.067,0.092,harmonograph,0.515,clap
11 Life In A Glass House.mp3,neutral,0.422,,,0.73,0.573,0.153,chladni,0.469,clap
11 Rouge.flac,calm,0.992,,,0.453,0.56,0.806,chladni,0.39,clap
11-3phase_-_current_1.mp3,neutral,0.269,,,0.659,0.755,0.511,chladni,0.444,clap
12 Darn That Dream.flac,neutral,0.687,,,0.623,0.543,0.153,chladni,0.311,clap
12. Galaxian - Glasgow to Detroit.mp3,neutral,0.642,,,0.02,0.941,0.752,thomas,0.428,clap
13-ignez-rio_with_you-tr.mp3,neutral,0.861,,,0.33,0.926,0.656,lorenz,0.261,clap
13. SolarX - Bionic Man.mp3,neutral,0.338,,,0.011,0.132,0.828,harmonograph,0.329,clap
15 Privacy - Broke.mp3,neutral,0.942,,,0.279,0.865,0.797,aizawa,0.737,clap
15. O-Wells - Park Jit.mp3,melancholic,0.514,,,0.055,0.791,0.149,chladni,0.412,clap
16. Privacy - Go.mp3,neutral,1.0,,,0.081,0.618,0.341,chladni,0.352,clap
17. Morah & Hauff - Segment 3.mp3,neutral,1.0,,,0.014,0.913,0.299,chladni,0.319,clap
190829_Dark_Forces_Original_Mix.mp3,aggressive,0.932,,,0.462,0.654,0.794,lorenz,0.119,clap
2 LYRIC - LUNA.mp3,neutral,1.0,,,0.075,0.697,0.035,lorenz,0.179,clap
2-03 Juan Atkins.mp3,calm,1.0,,,0.097,0.868,0.268,dejong,0.519,clap
20. Subtopia - The Mob Rules (Umwelt Remix).mp3,neutral,0.785,,,0.004,0.764,0.111,thomas,0.502,clap
21. L.F.T. - Data Move.mp3,calm,1.0,,,0.043,0.812,0.161,chladni,0.407,clap
22. QDT - Untitled.mp3,neutral,1.0,,,0.085,0.93,0.297,thomas,0.585,clap
23-rustal_and_offtrack-is_it_morning_yet_(late_nite_mix).mp3,energetic,1.0,,,0.414,0.901,0.549,lorenz,0.311,clap
25. Shedbug - Sibelle.mp3,neutral,1.0,,,0.045,0.854,0.43,lorenz,0.177,clap
25_juicy_romance_-_hummer.mp3,calm,1.0,,,0.127,0.687,0.357,chladni,0.255,clap
45. Nene H - Hush Now (VTSS Remix).mp3,energetic,1.0,,,0.055,0.754,0.12,lorenz,0.152,clap
4A - Zeta Reticula-Reticulum.mp3,calm,1.0,,,0.032,0.678,0.327,chladni,0.314,clap
AC-DC - High Voltage - 01 - It's a Long Way to the Top (If You Wanna Rock 'n' Roll).ogg,energetic,0.783,,,0.144,0.147,0.151,lorenz,0.366,clap
AC-DC - High Voltage - 02 - Rock 'n' Roll Singer.ogg,energetic,0.777,,,0.167,0.158,0.134,thomas,0.477,clap
AC-DC - High Voltage - 03 - The Jack.ogg,neutral,0.894,,,0.633,0.034,0.034,chladni,0.278,clap
AC-DC - High Voltage - 04 - Live Wire !.ogg,neutral,0.753,,,0.219,0.031,0.07,chladni,0.069,clap
AC-DC - High Voltage - 05 - TNT !.ogg,energetic,0.913,,,0.139,0.165,0.168,lorenz,0.381,clap
AC-DC - High Voltage - 06 - Can I Sit Next To You Girl !.ogg,neutral,0.853,,,0.073,0.289,0.073,thomas,0.415,clap
AC-DC - High Voltage - 07 - Little Lover.ogg,calm,0.868,,,0.593,0.066,0.163,chladni,0.41,clap
AC-DC - High Voltage - 08 - She's Got Balls.ogg,neutral,0.605,,,0.109,0.087,0.079,chladni,0.367,clap
AC-DC - High Voltage - 09 - High Voltage.ogg,energetic,0.69,,,0.191,0.139,0.162,thomas,0.448,clap
ANNA & Miss Kittin - Forever Ravers.mp3,neutral,1.0,,,0.205,0.377,0.409,lorenz,0.272,clap
ANNA - High Contrast (Original Mix) - 5A - 130.mp3,melancholic,0.239,,,0.061,0.68,0.054,harmonograph,0.273,clap
ANNA - Phase Two  [Drumcode].mp3,neutral,1.0,,,0.247,0.501,0.391,lorenz,0.226,clap
Abstract Division - Floating Point (Delta Funktionen Remix).mp3,energetic,1.0,,,0.191,0.566,0.384,lorenz,0.14,clap
Abstract Division - Floating Point (Original Mix).mp3,aggressive,1.0,,,0.21,0.426,0.496,lorenz,0.158,clap
Alborythme - Come Back To Me.mp3,calm,1.0,,,0.282,0.633,0.346,chladni,0.084,clap
Alfredo Mazzilli - Controlling (Original Mix) [Planet Rhythm].mp3,aggressive,1.0,,,0.062,0.627,0.052,lorenz,0.128,clap
AnD - On The Fucking Edge (Original Mix).mp3,neutral,0.653,,,0.108,0.463,0.103,thomas,0.511,clap
Ancient Methods - Knights & Bishops.mp3,neutral,1.0,,,0.084,0.77,0.419,lorenz,0.258,clap
Angelov - Invedi (Original Mix).mp3,neutral,0.377,,,0.363,0.816,0.924,chladni,0.207,clap
Angelov - Retrida.mp3,melancholic,0.327,,,0.7,0.501,0.768,chladni,0.293,clap
Animistic Beliefs - An Eye for A.I. (Mixed).mp3,neutral,1.0,,,0.1,0.887,0.632,lorenz,0.386,clap
Antigone and Rodhad - 1807021.mp3,neutral,1.0,,,0.064,0.883,0.442,lorenz,0.241,clap
Artbat - Element .mp3,calm,0.438,,,0.315,0.809,0.647,chladni,0.373,clap
B1 Public Energy - P.A..mp3,neutral,0.634,,,0.035,0.949,0.557,aizawa,0.764,clap
BIRI - Sun Cure [Non Series].mp3,energetic,1.0,,,0.158,0.707,0.72,lorenz,0.062,clap
BLANKA (ES) - La Buena Suerte (Original Mix).mp3,neutral,1.0,,,0.443,0.693,0.536,chladni,0.19,clap
Barker & Baumecker - Cipher ss.mp3,neutral,0.481,,,0.003,0.436,0.081,chladni,0.105,clap
Bidoben - Sans Soleil (Original Mix).mp3,neutral,1.0,,,0.286,0.804,0.185,lorenz,0.149,clap
Binaryh - Apus [Hiato Music].mp3,neutral,1.0,,,0.096,0.117,0.13,chladni,0.059,clap
Blackmass Plastics - Holy Handgrenade (Mixed).mp3,energetic,1.0,,,0.02,0.984,0.314,thomas,0.547,clap
Boston 168 - Oblivion.mp3,neutral,0.199,,,0.004,0.349,0.046,chladni,0.178,clap
Cadency - In Your Mind.mp3,aggressive,1.0,,,0.103,0.18,0.288,lorenz,0.12,clap
"CamelPhat, Yannis, Foals - Hypercolour (Mind Against Remix).mp3",neutral,1.0,,,0.447,0.318,0.369,lorenz,0.32,clap
Cardao - Mystic Bell (Original Mix).mp3,aggressive,1.0,,,0.432,0.752,0.237,thomas,0.522,clap
Chlär - Forgot to Dream (Original Mix).mp3,melancholic,0.587,,,0.869,0.654,0.525,chladni,0.226,clap
Cyan85 - Drama Bass.mp3,neutral,1.0,,,0.362,0.612,0.539,aizawa,0.713,clap
DAVE CLARKE feat CHICKS ON SPEED - What Was Her Name (OGONEK bootleg Remix).mp3,aggressive,1.0,,,0.185,0.867,0.106,thomas,0.474,clap
DJ Daddy Trance - My Body Rocks The Rhythm.mp3,neutral,1.0,,,0.303,0.754,0.315,thomas,0.673,clap
DL-MS- - Halo - 02 _이 기쁨.flac,neutral,1.0,,,0.192,0.914,0.671,lorenz,0.397,clap
DL-MS- - Halo - 03 IC-1101.flac,neutral,1.0,,,0.121,0.844,0.352,thomas,0.594,clap
DL-MS- - Halo - 04 Play With Us.flac,neutral,0.849,,,0.709,0.666,0.389,lorenz,0.397,clap
DL-MS- - Halo - 06 S.I.T.G.flac,energetic,1.0,,,0.225,0.89,0.574,lorenz,0.345,clap
DYEN - Tell You What I Know (Original mix).mp3,energetic,1.0,,,0.051,0.782,0.085,lorenz,0.212,clap
Dagga - Inert Hologram 01 Inert Hologram [JPT010].mp3,neutral,1.0,,,0.221,0.86,0.848,lorenz,0.332,clap
Dagga - Inert Hologram 02 Asfixia [JPT010].mp3,neutral,1.0,,,0.208,0.922,0.774,dejong,0.521,clap
Dagga - Inert Hologram 03 El Pasajero [JPT010].mp3,neutral,1.0,,,0.105,0.935,0.853,chladni,0.407,clap
Dagga - Inert Hologram 04 Fields of Data [JPT010].mp3,neutral,1.0,,,0.25,0.823,0.421,lorenz,0.26,clap
Dagga - Inert Hologram 05 Ahogado [JPT010].mp3,neutral,1.0,,,0.146,0.808,0.715,dejong,0.574,clap
Dagga X Manao - DXM - Pool Edits Vol.1 - 09 Open Sesame.mp3,neutral,1.0,,,0.073,0.761,0.53,thomas,0.441,clap
Dagga X Manao - Open Sesame.mp3,neutral,1.0,,,0.112,0.937,0.445,thomas,0.441,clap
Dagga X Manao - RJ Tool.mp3,calm,0.698,,,0.463,0.802,0.351,dejong,0.807,clap
Deborah De Luca - Dori Me (intro mix).mp3,neutral,0.945,,,0.072,0.527,0.081,lorenz,0.389,clap
Demuja - Loose Legs.mp3,aggressive,1.0,,,0.128,0.735,0.262,lorenz,0.3,clap
Diffuse Reality Records - Bez Obaw.mp3,energetic,1.0,,,0.216,0.701,0.171,lorenz,0.085,clap
Donato Dozzy - Parola featuring Anna Caragnano (Rework) [Spazio Disponibile].mp3,neutral,0.433,,,0.35,0.663,0.165,waveform,0.273,clap
Dusty Kid - Psika.mp3,neutral,0.297,,,0.023,0.095,0.06,chladni,0.147,clap
EMBARGO - EMBARGO - CLUB MIX [1999].mp3,aggressive,1.0,,,0.174,0.528,0.298,lorenz,0.077,clap
EMS - Synchronaut - 10 - Crack In The Sun.mp3,energetic,0.913,,,0.113,0.489,0.567,lorenz,0.291,clap
Eduardo De La Calle - Aitareya (Original Mix) [Electropical Record].mp3,neutral,1.0,,,0.168,0.927,0.861,lorenz,0.254,clap
Ellen Allien - Bowie in Harmony.mp3,aggressive,1.0,,,0.184,0.841,0.356,lorenz,0.099,clap
Ellen Allien - True Romantics (Hadone Remix).mp3,neutral,0.935,,,0.308,0.772,0.226,thomas,0.519,clap
Ellen Allien - Xtc.mp3,neutral,1.0,,,0.068,0.422,0.031,lorenz,0.303,clap
FJAAK - Pal.mp3,aggressive,1.0,,,0.041,0.568,0.183,lorenz,0.143,clap
Fabio Florido - Timeless (Original Mix).mp3,neutral,0.458,,,0.127,0.123,0.128,chladni,0.467,clap
